,details,elapsed_time,list,num_of_clauses,num_of_operations
89,"{6: (True, 0.4177260398864746), 4: (True, 0.3685731887817383), 5: (True, 0.37496232986450195)}",1.4511909484863281,"['6', '4', '2', '3', '1', '7', '5']",89583,3
90,"{6: (True, 0.4152030944824219), 4: (True, 0.3464980125427246), 5: (True, 0.4198269844055176)}",1.4802320003509521,"['4', '7', '2', '3', '6', '1', '5']",89583,3
91,"{6: (True, 0.44591689109802246), 2: (False, 0.17995381355285645), 3: (False, 0.24437403678894043)}",1.1308379173278809,"['5', '6', '3', '4', '2', '1', '7']",89583,3
92,"{6: (True, 0.8282968997955322), 4: (False, 0.36795592308044434), 5: (True, 0.42444396018981934)}",1.85856294631958,"['3', '6', '4', '2', '5', '7', '1']",89583,4
93,"{6: (True, 0.4086437225341797), 4: (True, 0.39497995376586914), 5: (True, 0.4309401512145996)}",1.4997408390045166,"['2', '7', '5', '4', '6', '3', '1']",89583,3
94,"{6: (True, 0.40384578704833984), 2: (False, 0.08402323722839355), 3: (False, 0.21620726585388184)}",1.0871601104736328,"['1', '7', '3', '2', '4', '5', '6']",89583,3
95,"{6: (True, 0.4162740707397461), 4: (True, 0.40020298957824707), 5: (True, 0.3997831344604492)}",1.5437321662902832,"['6', '1', '7', '3', '5', '4', '2']",89583,3
96,"{6: (True, 0.4745638370513916), 4: (False, 0.45349788665771484), 5: (True, 0.3913559913635254)}",1.6490180492401123,"['5', '1', '2', '7', '3', '6', '4']",89583,4
97,"{6: (True, 0.4703800678253174), 2: (False, 0.18743395805358887), 3: (True, 0.26754093170166016)}",1.2246439456939697,"['7', '3', '4', '5', '6', '2', '1']",89583,2
98,"{6: (True, 0.44221019744873047), 2: (False, 0.10060906410217285), 3: (False, 0.2696859836578369)}",1.0745940208435059,"['3', '2', '1', '7', '6', '4', '5']",89583,3
99,"{6: (True, 0.4126091003417969), 4: (False, 0.4100971221923828), 5: (True, 0.3715829849243164)}",1.4356250762939453,"['6', '1', '7', '3', '2', '4', '5']",89583,4
